,FIA001,FIA1,FIA10,FIA100,FIB1,FIB10,FIB100,FIC01,FIC1,FIC100,FIIA001,FIIA01,FIIA1,FIIA100,FIIB1,FIIB10,FIIB100,FIIC01,FIIC1,FIIC10,FIIC100,FIIIA001,FIIIA01,FIIIA1,FIIIA100,FIIIB1,FIIIB10,FIIIB100,FIIIC01,FIIIC1,FIIIC10,SC93A01,SC93A10,SC93A20,SC93B1,SC93B40,SC93C01,SC93C1,SC93C10,SC93C50,SC98A001,SC98A01,SC98A1,SC98A10,SC98A100,SC98B1,SC98B10,SC98B100,SC98C01,SC98C1,SC98C10,SC98C100,SCIA1,SCIA10,SCIA100,SCIB1,SCIB10,SCIB100,SCIC1,SCIC100,P72IA001,P72IA01,P72IA1,P72IA10,P72IA100,P72IB1,P72IB10,P72IB100,P72IC01,P72IC1,P72IC10,P72IC100,P72IIA001,P72IIA01,P72IIA1,P72IIB10,P72IIB100,P72IIC01,P72IIC10,P72IIC100,P72IIIA01,P72IIIA1,P72IIIA10,P72IIIA100,P72IIIB1,P72IIIB100,P72IIIC01,P72IIIC1,P72IIIC10,P72IIIC100
SC98C01_EVSSZ,230,175,139,193,210,304,254,321,163,230,478,503,307,786,642,477,395,352,622,464,864,664,751,632,331,776,597,578,718,667,430,90,380,523,87,658,56,194,397,209,925,537,842,984,555,984,846,75,877,962,984,918,368,290,752,381,531,216,468,615,30,44,14,83,40,17,27,15,53,29,22,28,51,89,68,111,26,16,55,25,1,16,8,3,14,3,6,9,0,4
FIIA01_CL4ZS,105,62,48,43,86,102,212,64,65,49,147,205,122,50,277,171,106,112,240,171,74,342,364,391,441,344,113,681,433,309,570,188,111,148,82,104,82,244,502,139,290,149,253,226,63,242,329,53,356,240,167,185,39,42,86,28,116,30,67,280,0,1,1,4,8,1,0,0,0,0,0,0,1,0,0,3,2,0,0,1,0,5,1,0,0,0,0,2,0,0
SCIA10_F4SS9,0,1,2,2,2,1,0,2,0,2,1,7,0,1,0,2,5,6,1,2,0,3,4,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,4,0,1,0,1,2,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,3,0,0
P72IIIB10_G1CUP,12,20,8,47,13,17,28,10,6,10,17,35,41,13,13,63,10,14,4,18,21,9,6,10,85,3,24,1,14,9,40,2,20,12,2,53,3,7,38,17,38,51,14,6,6,11,8,4,25,13,7,29,49,12,14,25,33,11,31,10,21,47,18,39,14,50,35,39,26,30,19,19,98,141,61,128,73,24,118,24,84,111,70,9,157,70,155,129,34,50
SC98A100_IAXQL,2,0,0,4,1,0,6,8,0,0,1,2,2,0,0,6,3,2,6,0,1,2,0,2,1,0,13,0,0,0,0,0,1,0,4,2,0,0,3,2,26,20,2,0,18,3,0,7,20,0,0,3,27,15,1,7,1,6,1,2,0,4,0,0,2,1,8,0,2,1,0,0,0,0,0,0,1,4,1,0,4,1,1,0,2,0,2,1,3,0
P72IIA1_ED6HQ,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,2,8,2,8,9,4,12,12,14,12,4,10,32,7,4,0,1,1,0,1,0,0,0,0,1,0,0,0
SCIB1_J1WAE,0,2,2,4,4,4,8,1,3,3,9,4,1,10,14,13,6,5,7,6,10,12,18,12,5,17,10,12,6,11,4,3,4,11,5,7,1,4,9,5,15,7,13,6,7,19,7,0,8,21,16,13,4,3,2,3,5,4,3,6,0,0,0,1,3,2,1,1,2,0,0,0,1,1,0,1,1,0,0,0,0,2,0,0,0,0,1,2,0,1
P72IA10_DJ8N2,134,140,87,19,152,109,49,101,45,58,105,98,44,199,91,85,116,55,48,154,28,21,4,23,15,15,65,0,46,31,10,4,0,3,2,2,2,1,21,9,17,13,65,7,82,6,2,22,20,8,4,2,21,36,2,44,23,3,25,8,15,35,20,62,20,37,43,38,9,29,26,31,58,70,42,17,48,15,128,37,17,84,11,7,87,6,31,38,12,0
FIIIC1_C6XYX,0,0,1,2,1,0,1,1,3,0,4,2,1,4,5,0,4,0,10,1,2,7,4,2,1,4,5,5,2,23,1,0,3,2,2,4,1,2,6,1,2,5,7,2,3,2,1,0,2,5,3,4,0,2,0,3,2,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SC98A01_G91G6,22,73,2,13,16,13,63,34,23,18,18,15,8,0,0,1,157,14,3,18,4,0,0,0,2,0,3,0,6,0,2,12,4,1,18,5,9,15,4,17,2,257,1,1,7,0,0,48,5,0,0,0,20,12,1,29,4,2,16,13,6,7,25,13,7,11,21,12,17,7,3,8,9,2,3,6,7,2,3,5,5,13,10,3,6,1,6,2,61,0
SC98A100_IKV11,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,2,1,4,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIIIA01_EIKF9,1,0,0,0,0,0,4,2,1,1,2,1,2,1,4,0,2,3,4,2,2,4,3,1,0,5,5,5,1,0,1,0,2,0,0,1,2,0,1,0,5,2,12,4,4,6,2,0,1,5,6,5,2,1,2,1,1,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
